Code,Site,ICD,ICD Code,Sex,Year at death,All ages,0-4 yrs.,5-9 yrs.,10-14 yrs.,15-19 yrs.,20-24 yrs.,25-29 yrs.,30-34 yrs.,35-39 yrs.,40-44 yrs.,45-49 yrs.,50-54 yrs.,55-59 yrs.,60-64 yrs.,65-69 yrs.,70-74 yrs.,75-79 yrs.,80-84 yrs.,85+ yrs.
1,All cancers,ICD-10,C00-C97,Both,2000,235.234301630000000 ,2.303764880800000 ,2.289121376700000 ,2.013169509500000 ,3.188434458500000 ,4.192621059200000 ,6.316081876800000 ,12.208323010000000 ,23.038179327000000 ,44.341138948000000 ,83.489147711000000 ,146.444024020000000 ,238.973527820000000 ,365.021242010000000 ,590.460383680000000 ,832.716751350000000 ,1080.837681800000000 ,1454.647041400000000 ,1901.090743500000000 
1,All cancers,ICD-10,C00-C97,Both,2001,238.791816250000000 ,1.899383983600000 ,2.049731182800000 ,2.179406190800000 ,2.982407916400000 ,3.917910447800000 ,5.645500420500000 ,10.918847881000000 ,21.968925115000000 ,42.287060055000000 ,82.742681048000000 ,146.711127350000000 ,238.815709970000000 ,351.440538140000000 ,568.340460750000000 ,829.039735100000000 ,1075.215224300000000 ,1429.103651800000000 ,1907.118786900000000 
1,All cancers,ICD-10,C00-C97,Both,2002,241.705288550000000 ,2.096940529400000 ,1.820020222400000 ,2.146546158800000 ,3.343635852800000 ,3.589219568300000 ,5.737793655900000 ,10.782309265000000 ,19.728395062000000 ,39.093631983000000 ,76.228287841000000 ,145.192216420000000 ,227.742910270000000 ,340.739362360000000 ,545.336963920000000 ,821.773542240000000 ,1075.322164900000000 ,1404.534270700000000 ,1917.185008000000000 
1,All cancers,ICD-10,C00-C97,Both,2003,245.398330410000000 ,1.775766016700000 ,1.971024258800000 ,2.305285690800000 ,3.035120682200000 ,3.880831046600000 ,5.333483045100000 ,9.945274679000000 ,18.899060467000000 ,38.119260122000000 ,74.664964901000000 ,142.201650230000000 ,222.646477950000000 ,333.999031710000000 ,530.010848930000000 ,803.865572740000000 ,1072.341733300000000 ,1396.909272200000000 ,1924.065598800000000 
1,All cancers,ICD-10,C00-C97,Both,2004,253.897730150000000 ,2.271526677200000 ,1.766004415000000 ,2.044887780500000 ,3.155848040700000 ,3.264055422300000 ,5.651105651100000 ,10.056098068000000 ,20.981985164000000 ,36.540192926000000 ,73.936581593000000 ,145.370771900000000 ,223.460655400000000 ,341.979323960000000 ,526.805251640000000 ,794.708255740000000 ,1099.586776900000000 ,1395.716946000000000 ,1938.687202100000000 
1,All cancers,ICD-10,C00-C97,Both,2005,258.263343840000000 ,2.181203970500000 ,2.034049307400000 ,1.802822318300000 ,2.544584258600000 ,3.948289639900000 ,5.223619056700000 ,10.247744167000000 ,19.434778455000000 ,35.878052270000000 ,70.233467129000000 ,134.540769260000000 ,218.087905950000000 ,343.881600210000000 ,503.437506860000000 ,779.113318310000000 ,1088.194484000000000 ,1411.764912900000000 ,1913.442142100000000 
1,All cancers,ICD-10,C00-C97,Both,2006,261.041267020000000 ,1.944597321600000 ,1.941416893700000 ,2.231169266900000 ,2.993068683000000 ,3.583977512300000 ,5.724553972500000 ,9.798728813600000 ,18.256850446000000 ,36.193029491000000 ,69.628262589000000 ,131.153246130000000 ,215.178571430000000 ,342.288680180000000 ,487.883981540000000 ,750.633657530000000 ,1085.703690000000000 ,1383.973655300000000 ,1902.010376100000000 
1,All cancers,ICD-10,C00-C97,Both,2007,266.858071940000000 ,2.026398958900000 ,1.648634724400000 ,1.869946091600000 ,2.579812963600000 ,3.530751708400000 ,4.870946393100000 ,9.708419788100000 ,18.276310091000000 ,33.758988346000000 ,65.979787374000000 ,127.656367750000000 ,221.807124240000000 ,335.396127810000000 ,482.659997430000000 ,735.731901930000000 ,1069.143372400000000 ,1406.725525800000000 ,1896.198651100000000 
1,All cancers,ICD-10,C00-C97,Both,2008,272.307399140000000 ,2.113334580100000 ,1.847977684800000 ,1.836562763300000 ,2.782351004300000 ,3.187772925800000 ,5.176853232100000 ,9.444697314500000 ,18.038008281000000 ,33.147429680000000 ,65.261096606000000 ,123.994308630000000 ,218.301925440000000 ,328.746349140000000 ,477.247155890000000 ,728.901400320000000 ,1063.447669300000000 ,1426.063303700000000 ,1877.971519900000000 
1,All cancers,ICD-10,C00-C97,Both,2009,273.489906220000000 ,1.972571858000000 ,1.968434119500000 ,1.609623856300000 ,2.382936177300000 ,3.324846487900000 ,4.661716171600000 ,9.554443650200000 ,17.766124803000000 ,33.143399810000000 ,61.820070103000000 ,118.729577830000000 ,210.087186840000000 ,319.132107740000000 ,471.829297530000000 ,695.827881960000000 ,1035.140735600000000 ,1411.679696800000000 ,1871.957236800000000 
